,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
231,41.5301,13.2808,100.7,31.6227766,0.895,
232,42.0213,13.2338,103.8,5011.872336,0.895,
233,42.0315,13.4339,105.8,50.11872336,0.895,
234,42.262,14.121,91.4,19952.62315,0.895,
235,42.102,14.0708,91.3,6309.573445,0.895,
236,42.0219,13.1429,105.3,25.11886432,0.895,
237,42.2336,13.5239,91.2,3981.071706,0.895,
238,42.0213,13.2338,93.3,1000.0,0.895,
239,42.262,14.121,91.9,31622.7766,0.895,
240,42.102,14.0708,98.1,6309.573445,0.895,
241,41.4839,13.4449,103.8,50.11872336,0.895,
242,42.2336,13.5239,101.7,794.3282347,0.895,
243,42.3826,13.4133,107.1,501.1872336,0.895,
244,42.52,13.53,103.7,3981.071706,0.895,
245,42.2026,13.2228,105.9,50.11872336,0.895,
246,42.254,14.14,95.5,15848.93192,0.895,
247,42.0219,13.234,89.0,2511.886432,0.895,
248,42.2608,14.1406,91.0,25118.86432,0.895,
249,42.0938,14.0757,96.9,31622.7766,0.895,
250,42.2026,13.2224,100.6,5011.872336,0.895,
251,42.1336,13.5036,103.5,316.227766,0.895,
252,42.0354,13.5204,94.8,5011.872336,0.895,
253,42.4006,13.4905,91.9,5011.872336,0.895,
254,42.0221,14.2323,103.5,3162.27766,0.895,
255,42.0523,14.4132,96.7,1000.0,0.895,
256,42.3504,13.5902,106.9,50118.72336,0.895,
257,42.4554,13.5633,95.1,398.1071706,0.895,
258,42.3357,13.4112,106.9,2511.886432,0.895,
259,42.3831,13.4133,97.1,10000.0,0.895,
260,41.5029,14.0558,91.6,501.1872336,0.895,
261,42.2215,14.1021,106.9,630.9573445,0.895,
262,42.071,14.1409,91.6,6309.573445,0.895,
263,42.0432,14.3943,100.0,1258.925412,0.895,
264,41.4839,13.4445,89.8,39.81071706,0.895,
265,41.4835,14.2913,89.8,1000.0,0.895,
266,41.4434,13.5934,107.5,63.09573445,0.895,
267,41.5323,13.2418,89.0,39.81071706,0.895,
268,42.1903,13.1506,96.9,50.11872336,0.895,
269,41.4724,14.0645,96.7,50.11872336,0.895,
270,42.1405,13.2911,89.0,63.09573445,0.895,
271,42.0221,14.2323,91.8,25118.86432,0.895,
272,42.4652,13.3516,106.3,25118.86432,0.895,
273,42.3027,13.1318,103.0,50.11872336,0.895,
274,41.4351,14.0132,100.3,6.309573445,0.895,
275,41.5557,13.5224,98.4,31.6227766,0.895,
276,41.5634,14.0852,96.7,6.309573445,0.895,
277,42.0841,13.2959,89.2,0.125892541,0.895,
278,41.5504,14.1711,91.4,251.1886432,0.895,
279,42.0809,13.0758,107.5,15.84893192,0.895,
280,42.0935,14.0757,105.6,79432.82347,0.895,
281,42.3827,13.4133,105.3,10000.0,0.895,
282,42.0212,14.2321,107.8,5011.872336,0.895,
283,41.4733,14.0612,93.3,1584.893192,0.895,
284,41.4437,13.593,93.0,6309.573445,0.895,
285,41.5029,14.06,101.5,3162.27766,0.895,
286,41.4838,13.4449,99.3,3162.27766,0.895,
287,42.0354,13.5204,105.6,5011.872336,0.895,
288,42.0314,13.4341,104.8,3981.071706,0.895,
289,42.2019,13.2223,105.3,7943.282347,0.895,
290,42.0925,14.0009,103.0,1584.893192,0.895,
