,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
156,52.0246381,5.0458792,93.1,4000.0,0.941,
157,51.4392648,5.478633,93.2,1260.0,0.941,
158,53.0778724,5.7927534,93.2,8000.0,0.941,
159,52.3730796,4.8924534,93.3,1000.0,0.941,
160,52.2209855,6.8940537,93.3,1000.0,0.941,
161,51.64113575,5.048667556,93.3,1000.0,0.941,
162,51.49433865,3.415005768,93.3,692.0,0.941,
163,50.8738401,5.8456982,93.4,10200.0,0.941,
164,49.786464,20.9737542,93.4,435.0,0.941,
165,51.9244424,4.47775,93.4,10200.0,0.941,
166,52.17150665,5.6454393,93.5,500.0,0.941,
167,53.6270696,8.8303929,93.5,1000.0,0.941,
168,53.1091111,6.0948102,93.5,501.0,0.941,
169,52.2347139,6.4949852,93.5,590.0,0.941,
170,52.75286615,6.952513466,93.5,100.0,0.941,
171,52.3730796,4.8924534,93.6,2630.0,0.941,
172,51.4392648,5.478633,93.6,3000.0,0.941,
173,51.9383502,5.9393769,93.6,1000.0,0.941,
174,52.0907006,5.1215634,93.6,110.0,0.941,
175,52.2658726,6.7924049,93.7,1740.0,0.941,
176,53.1638192,6.7556852,93.7,1812.0,0.941,
177,52.1833669,4.472129403,93.7,760.0,0.941,
178,52.1709839,6.2269387,93.8,316.0,0.941,
179,52.3885317,4.6388048,93.8,891.0,0.941,
180,51.8206116,5.5632234,93.8,17000.0,0.941,
181,51.5331484,4.4561276,93.9,4270.0,0.941,
182,52.3579925,6.5921844,93.9,708.0,0.941,
183,52.850955,5.0226161,93.9,11200.0,0.941,
184,52.17957375,5.930077461,94.0,174.0,0.941,
185,51.4392648,5.478633,94.0,40.0,0.941,
186,52.75286615,6.952513466,94.0,1000.0,0.941,
187,51.626921,5.8816763,94.0,250.0,0.941,
188,51.9279081,6.077526279,94.0,1000.0,0.941,
189,52.07494555,4.269680221,94.1,8.0,0.941,
190,52.9035357,5.6784354,94.1,2000.0,0.941,
191,51.6511806,5.236800144,94.1,1450.0,0.941,
192,52.9054328,6.3968885,94.2,1000.0,0.941,
193,51.84257485,5.838960629,94.2,372.0,0.941,
194,49.4307696,6.3111933,94.3,500.0,0.941,
195,52.0246381,5.0458792,94.3,49000.0,0.941,
196,53.033548,5.6611029,94.3,501.0,0.941,
