Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI
17.005045,81.78047,91.1,17005,0.633
25.576044,91.88253,91.1,25576,0.633
28.416668,79.38333,91.1,28416,0.633
28.868053,79.298386,91.1,28868,0.633
26.77924,83.41368,91.1,26779,0.633
25.344027,78.436775,91.1,25344,0.633
34.55944,76.125595,91.1,34559,0.633
32.42882,75.56287,91.1,32428,0.633
34.164204,77.584816,91.1,34164,0.633
16.29152,80.45416,91.2,16291,0.633
25.450163,85.70277,91.2,25450,0.633
30.733442,76.77972,91.2,30733,0.633
21.18965,81.28511,91.2,21189,0.633
22.5,83.5,91.2,22500,0.633
30.384367,76.770424,91.2,30384,0.633
28.591993,76.27198,91.2,28591,0.633
29.435068,74.74612,91.2,29435,0.633
29.15,75.72,91.2,29150,0.633
28.90109,76.58019,91.2,28901,0.633
29.583332,75.083336,91.2,29583,0.633
28.297264,82.75274,91.2,28297,0.633
32.718563,74.85809,91.2,32718,0.633
12.305182,76.65536,91.2,12305,0.633
9.498,76.33348,91.2,9498,0.633
9.67018,76.55778,91.2,9670,0.633
9.055145,76.535416,91.2,9055,0.633
8.440241,76.95613,91.2,8440,0.633
23.75,78.75,91.2,23750,0.633
23.25,77.25,91.2,23250,0.633
16.50281,80.521,91.2,16502,0.633
19.877262,75.33903,91.2,19877,0.633
18.426699,76.48706,91.2,18426,0.633
20.0,73.8,91.2,20000,0.633
16.850254,74.59489,91.2,16850,0.633
25.2236,93.9991,91.2,25223,0.633
24.559128,94.03098,91.2,24559,0.633
21.06333,86.50537,91.2,21063,0.633
20.4686,85.8792,91.2,20468,0.633
20.259388,86.166084,91.2,20259,0.633
21.5,85.5,91.2,21500,0.633
22.267027,88.169624,91.2,22267,0.633
27.2917,88.208,91.2,27291,0.633
13.0836935,80.27019,91.2,13083,0.633
11.3692045,77.67663,91.2,11369,0.633
10.930152,78.084854,91.2,10930,0.633
11.57044,77.902466,91.2,11570,0.633
11.2842245,78.16615,91.2,11284,0.633
10.4893,77.75488,91.2,10489,0.633
10.382651,78.81912,91.2,10382,0.633
11.939829,79.49457,91.2,11939,0.633
28.403353,78.10496,91.2,28403,0.633
28.467073,77.51376,91.2,28467,0.633
26.460913,80.32176,91.2,26460,0.633
27.633333,77.583336,91.2,27633,0.633
28.570633,77.32722,91.2,28570,0.633
30.325565,78.04368,91.2,30325,0.633
29.214481,79.5279,91.2,29214,0.633
30.2845,78.97993,91.2,30284,0.633
22.572645,88.36389,91.2,22572,0.633
22.4363,87.3192,91.2,22436,0.633
23.329187,86.36724,91.2,23329,0.633
11.67,78.144,91.5,11670,0.633
12.794811,79.00064,91.5,12794,0.633
21.771883,72.14165,91.5,21771,0.633
16.850254,74.59489,91.9,16850,0.633
16.508757,80.61851,91.9,16508,0.633
13.0836935,80.27019,91.9,13083,0.633
22.572645,88.36389,91.9,22572,0.633
9.926115,78.1141,91.9,9926,0.633
24.57872,73.68626,91.9,24578,0.633
27.175255,78.00982,91.9,27175,0.633
28.416668,79.38333,91.9,28416,0.633
26.77924,83.41368,91.9,26779,0.633
29.15,75.72,91.9,29150,0.633
31.332376,75.57689,91.9,31332,0.633
29.680326,76.989624,91.9,29680,0.633
23.37005,85.325035,91.9,23370,0.633
25.33565,83.00763,91.9,25335,0.633
12.976793,77.59008,91.9,12976,0.633
15.498995,73.82822,91.9,15498,0.633
11.876384,75.373795,91.9,11876,0.633
9.967427,76.245445,91.9,9967,0.633
11.245056,75.775475,91.9,11245,0.633
10.50817,76.29487,91.9,10508,0.633
26.460913,80.32176,91.9,26460,0.633
21.149813,79.082054,91.9,21149,0.633
21.17,72.82,91.9,21170,0.633
21.212069,81.37328,91.9,21212,0.633
23.601263,72.37415,91.9,23601,0.633
23.188513,75.77166,91.9,23188,0.633
17.982065,79.59709,91.9,17982,0.633
18.973354,72.8281,91.9,18973,0.633
20.716906,77.10462,91.9,20716,0.633
28.868053,79.298386,91.9,28868,0.633
32.718563,74.85809,91.9,32718,0.633
20.260296,85.839455,91.9,20260,0.633
26.203724,78.157364,91.9,26203,0.633
11.3692045,77.67663,91.9,11369,0.633
26.166706,85.41663,91.9,26166,0.633
22.473242,70.055214,91.9,22473,0.633
21.518559,70.459175,91.9,21518,0.633
16.50281,80.521,92.1,16502,0.633
21.708042,72.9957,92.3,21708,0.633
23.831238,91.28238,92.7,23831,0.633
27.175255,78.00982,92.7,27175,0.633
19.043621,74.742676,92.7,19043,0.633
23.743525,92.73829,92.7,23743,0.633
26.4691,74.639,92.7,26469,0.633
27.833332,78.166664,92.7,27833,0.633
25.43813,81.8338,92.7,25438,0.633
31.634308,74.87368,92.7,31634,0.633
23.68713,86.974655,92.7,23687,0.633
19.877262,75.33903,92.7,19877,0.633
28.416668,79.38333,92.7,28416,0.633
12.976793,77.59008,92.7,12976,0.633
23.258486,77.40199,92.7,23258,0.633
28.015928,73.31714,92.7,28015,0.633
30.733442,76.77972,92.7,30733,0.633
13.0836935,80.27019,92.7,13083,0.633
20.4686,85.8792,92.7,20468,0.633
26.775,83.3723,92.7,26775,0.633
26.180597,91.753944,92.7,26180,0.633
26.203724,78.157364,92.7,26203,0.633
29.15,75.72,92.7,29150,0.633
17.360588,78.47406,92.7,17360,0.633
22.720362,75.8682,92.7,22720,0.633
27.097965,93.623726,92.7,27097,0.633
31.332376,75.57689,92.7,31332,0.633
32.718563,74.85809,92.7,32718,0.633
22.80152,86.20296,92.7,22801,0.633
25.344027,78.436775,92.7,25344,0.633
26.296772,73.03514,92.7,26296,0.633
26.460913,80.32176,92.7,26460,0.633
16.70284,74.24053,92.7,16702,0.633
