,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
170,-23.5283333333333,145.259166666667,103.3,82.0,0.951,
171,-23.5566666666667,145.293055555556,105.7,164.0,0.951,
172,-23.5283333333333,145.259166666667,107.3,164.0,0.951,
173,-35.625,144.125277777778,94.9,16.4,0.951,
174,-34.5716666666667,139.005833333333,89.1,1640.0,0.951,
175,-34.5716666666667,139.005833333333,90.5,1640.0,0.951,
176,-41.4905555555556,146.184444444444,94.9,820.0,0.951,
177,-41.4905555555556,146.184444444444,97.3,820.0,0.951,
178,-41.4905555555556,146.184444444444,97.3,820.0,0.951,
179,-31.9625,151.946388888889,93.7,328.0,0.951,
180,-31.9625,151.946388888889,97.7,328.0,0.951,
181,-20.8177777777778,115.438333333333,99.1,32.8,0.951,
182,-20.8177777777778,115.438333333333,100.7,32.8,0.951,
183,-20.8177777777778,115.438333333333,102.3,32.8,0.951,
184,-20.8177777777778,115.438333333333,103.9,32.8,0.951,
185,-20.8177777777778,115.438333333333,105.5,32.8,0.951,
186,-20.8177777777778,115.438333333333,107.1,32.8,0.951,
187,-14.5247222222222,132.866944444444,101.7,32.8,0.951,
188,-14.5247222222222,132.866944444444,102.5,49.2,0.951,
189,-14.5247222222222,132.866944444444,106.1,16.4,0.951,
190,-13.0455555555556,131.026666666667,92.1,32.8,0.951,
191,-13.0455555555556,131.026666666667,92.9,32.8,0.951,
192,-13.0455555555556,131.026666666667,93.7,16.4,0.951,
193,-35.73,150.186388888889,96.3,164.0,0.951,
194,-35.7961111111111,150.005555555556,100.5,90200.0,0.951,
195,-35.7961111111111,150.005555555556,101.9,90200.0,0.951,
196,-35.7961111111111,150.005555555556,103.5,90200.0,0.951,
197,-35.7961111111111,150.005555555556,104.3,32800.0,0.951,
198,-35.7961111111111,150.005555555556,105.1,90200.0,0.951,
199,-35.7961111111111,150.005555555556,105.9,32800.0,0.951,
200,-33.4313888888889,149.805833333333,95.1,13120.0,0.951,
201,-33.4313888888889,149.805833333333,99.3,16400.0,0.951,
202,-33.4152777777778,149.581111111111,99.3,164.0,0.951,
203,-33.4316666666667,149.808611111111,100.1,16400.0,0.951,
204,-33.4316666666667,149.808611111111,100.9,16400.0,0.951,
205,-33.4502777777778,149.5475,91.1,328.0,0.951,
206,-33.4502777777778,149.5475,92.3,1640.0,0.951,
207,-33.4505555555556,149.547222222222,95.9,328.0,0.951,
208,-33.4505555555556,149.547222222222,96.7,328.0,0.951,
209,-33.4505555555556,149.547222222222,97.5,328.0,0.951,
210,-33.4505555555556,149.547222222222,98.3,328.0,0.951,
211,-11.7758333333333,130.567777777778,91.3,246.0,0.951,
212,-11.7758333333333,130.567777777778,92.9,246.0,0.951,
213,-11.7758333333333,130.567777777778,95.3,123.0,0.951,
214,-11.7605555555556,130.638611111111,98.9,41.0,0.951,
215,-35.5458333333333,148.199166666667,92.5,164.0,0.951,
216,-30.4613888888889,117.893055555556,94.1,164.0,0.951,
