,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
199,199,65.666667,19.25,100.6,60000,0.947,
200,200,67.3,20.25,100.9,60000,0.947,
201,201,66.6545958,23.8562435,101.4,50,0.947,
202,202,68.4405054,22.4743151,101.5,300,0.947,
203,203,68.4295561,18.2577156,101.8,30,0.947,
204,204,67.7198443,17.4758468,101.9,30,0.947,
205,205,66.666667,23.5,101.9,30,0.947,
206,206,66.0,23.0,102.2,60000,0.947,
207,207,66.13055,17.1699481,102.3,30,0.947,
208,208,62.3822326,6.9859189,102.4,30,0.947,
209,209,66.9520305,17.7206418,102.6,30,0.947,
210,210,68.166667,19.5,102.7,60000,0.947,
211,211,65.7,21.0,102.9,60000,0.947,
212,212,66.416667,17.0,103.0,300,0.947,
213,213,66.416667,22.5,103.2,15000,0.947,
214,214,66.97721725,18.58344245,103.3,30,0.947,
215,215,64.6562097,17.8146163,103.3,30,0.947,
216,216,66.4375831,16.7319846,103.5,300,0.947,
217,217,66.666667,19.25,103.5,300,0.947,
218,218,66.9520305,17.7206418,103.6,30,0.947,
219,219,57.1653104,26.5597792,103.6,75,0.947,
220,220,68.3451305,19.2421212,103.7,30,0.947,
221,221,65.7,21.0,97.6,225,0.947,
222,222,65.833333,21.666667,98.7,500,0.947,
223,223,66.0,23.0,88.4,500,0.947,
224,224,65.5831187,22.1459535,90.1,2500,0.947,
225,225,66.416667,22.5,96.7,400,0.947,
226,226,65.3134652,21.4900252,91.9,1000,0.947,
227,227,55.933333,13.533333,106.5,1000,0.947,
228,228,55.5513434,13.216676,95.3,1000,0.947,
229,229,56.0856449,12.9139805,96.7,1000,0.947,
230,230,55.8504666,13.6486019,96.3,500,0.947,
231,231,55.4815088,13.554477,99.7,1000,0.947,
232,232,55.65,13.2,102.6,500,0.947,
233,233,56.2,12.566667,104.9,200,0.947,
234,234,56.0293778,14.1566859,91.6,1000,0.947,
235,235,55.61332725,12.97633524,89.2,200,0.947,
236,236,55.566667,14.3,102.2,500,0.947,
237,237,55.633333,13.683333,107.8,490,0.947,
238,238,55.5447478,13.9329289,93.6,490,0.947,
239,239,55.4295203,13.8201171,103.9,500,0.947,
240,240,56.4267895,12.8607151,96.1,100,0.947,
241,241,56.02820195,12.82950249,99.8,100,0.947,
242,242,56.0442098,12.703706,99.2,500,0.947,
243,243,55.61332725,12.97633524,90.2,245,0.947,
244,244,55.37592,13.1461522,92.8,500,0.947,
245,245,55.6378013,13.0777501,92.0,100,0.947,
246,246,56.2429224,12.8619375,88.1,1000,0.947,
247,247,56.4267895,12.8607151,89.0,500,0.947,
248,248,55.4815088,13.554477,90.4,50,0.947,
249,249,55.566667,14.3,92.7,200,0.947,
250,250,56.2,12.566667,94.2,100,0.947,
251,251,56.216667,13.733333,94.4,500,0.947,
252,252,56.116667,14.55,97.5,300,0.947,
253,253,56.416667,14.083333,98.0,100,0.947,
254,254,56.2,13.366667,98.1,200,0.947,
255,255,56.0442098,12.703706,100.3,1000,0.947,
256,256,55.9235165,14.2955222,100.9,150,0.947,
257,257,56.2827878,13.2828212,102.4,100,0.947,
258,258,55.39609,12.8371665,102.5,50,0.947,
259,259,55.933333,13.533333,102.5,150,0.947,
260,260,55.8698007,12.8296734,102.7,100,0.947,
261,261,55.8504666,13.6486019,103.8,50,0.947,
262,262,56.0293778,14.1566859,104.5,1000,0.947,
263,263,55.4295203,13.8201171,104.6,250,0.947,
264,264,55.8371511,14.0892635,104.9,400,0.947,
265,265,55.37592,13.1461522,106.4,150,0.947,
266,266,55.7029296,13.1929449,107.0,10000,0.947,
267,267,55.61332725,12.97633524,107.4,125,0.947,
268,268,55.85,13.316667,90.5,1000,0.947,
269,269,56.216667,13.733333,98.9,1000,0.947,
270,270,55.7795769,13.0337618,95.9,8000,0.947,
271,271,55.8698007,12.8296734,94.5,400,0.947,
272,272,55.6334996,13.4925649,91.5,50,0.947,
273,273,55.7029296,13.1929449,99.1,300,0.947,
274,274,55.466667,13.033333,91.7,900,0.947,
275,275,56.2429224,12.8619375,106.9,300,0.947,
276,276,55.6052931,13.0001566,100.6,6000,0.947,
277,277,55.8504666,13.6486019,101.4,60000,0.947,
278,278,56.6739826,12.8574827,102.6,3000,0.947,
279,279,55.566667,14.3,102.7,300,0.947,
280,280,56.2429224,12.8619375,103.6,1000,0.947,
281,281,55.8504666,13.6486019,89.5,5000,0.947,
282,282,55.6052931,13.0001566,102.0,6000,0.947,
283,283,55.4295203,13.8201171,103.0,300,0.947,
284,284,56.0442098,12.703706,103.2,6000,0.947,
285,285,55.37592,13.1461522,103.7,300,0.947,
286,286,56.2827878,13.2828212,94.1,500,0.947,
287,287,59.3251172,18.0710935,101.9,5000,0.947,
288,288,59.049722,18.266667,87.6,150,0.947,
289,289,59.1964289,17.6271663,90.9,200,0.947,
290,290,59.6165201,17.7236301,91.8,500,0.947,
291,291,58.933333,17.9,96.7,100,0.947,
292,292,59.3251172,18.0710935,104.7,4800,0.947,
293,293,59.2293827,17.9748815,107.9,100,0.947,
294,294,59.3251172,18.0710935,91.1,250,0.947,
295,295,59.3251172,18.0710935,107.5,3000,0.947,
296,296,49.2234674,18.7393139,97.3,160,0.947,
297,297,59.2034494,17.8545982,91.6,100,0.947,
298,298,59.049722,18.266667,98.5,200,0.947,
299,299,59.1964289,17.6271663,88.4,500,0.947,
300,300,59.4204736,17.8285472,94.2,100,0.947,
301,301,59.3120997,18.2073591,99.9,100,0.947,
302,302,59.4670482,18.0658494,98.3,80,0.947,
303,303,59.3251172,18.0710935,105.1,4800,0.947,
304,304,59.6252383,17.8515672,88.2,250,0.947,
305,305,59.3251172,18.0710935,88.9,1000,0.947,
306,306,59.3669445,18.1820897,97.8,50,0.947,
307,307,59.216667,18.333333,91.4,250,0.947,
308,308,59.2904595,17.813072,101.4,200,0.947,
309,309,59.4935366,18.4453926,103.7,500,0.947,
310,310,59.1964289,17.6271663,87.8,100,0.947,
311,311,59.049722,18.266667,93.0,150,0.947,
312,312,58.933333,17.9,97.9,50,0.947,
313,313,59.6165201,17.7236301,99.7,760,0.947,
314,314,59.05,17.033333,101.2,250,0.947,
315,315,59.27816225,18.76386811,104.0,100,0.947,
316,316,59.3251172,18.0710935,106.3,3000,0.947,
317,317,60.0517603,18.5970171,104.1,295,0.947,
318,318,59.766667,18.7,107.8,1000,0.947,
319,319,59.3,18.583333,90.2,200,0.947,
320,320,60.1524761,25.049372,97.7,50,0.947,
321,321,59.4293164,17.9500556,94.6,250,0.947,
322,322,60.0037397,18.8309854,94.7,3000,0.947,
323,323,59.766667,18.7,102.1,100,0.947,
324,324,60.1715116,20.07739226,102.3,10000,0.947,
325,325,58.933333,17.9,102.9,100,0.947,
326,326,59.3251172,18.0710935,103.3,60000,0.947,
327,327,59.3251172,18.0710935,93.8,1500,0.947,
328,328,59.1964289,17.6271663,97.6,3000,0.947,
329,329,59.1964289,17.6271663,99.6,150,0.947,
330,330,58.933333,17.9,90.4,175,0.947,
331,331,59.1964289,17.6271663,95.0,100,0.947,
332,332,59.766667,18.7,100.4,340,0.947,
333,333,59.3251172,18.0710935,107.1,3000,0.947,
334,334,59.3251172,18.0710935,101.1,50,0.947,
335,335,59.3251172,18.0710935,88.0,200,0.947,
336,336,59.3251172,18.0710935,95.3,200,0.947,
337,337,59.049722,18.266667,97.0,150,0.947,
338,338,59.6165201,17.7236301,97.1,500,0.947,
339,339,59.1964289,17.6271663,97.1,250,0.947,
340,340,58.933333,17.9,98.9,100,0.947,
341,341,59.3251172,18.0710935,105.9,3000,0.947,
342,342,59.3659643,17.8716341,90.5,250,0.947,
343,343,58.833056,17.5,88.7,60,0.947,
344,344,59.3763155,17.0268194,96.9,4000,0.947,
345,345,59.05,17.033333,98.3,300,0.947,
346,346,59.3717379,16.5051474,100.1,6000,0.947,
347,347,58.5909124,16.1903511,102.3,60000,0.947,
348,348,58.9468803,17.4955923,92.9,300,0.947,
349,349,58.9960335,16.2067589,95.4,200,0.947,
350,350,59.3763155,17.0268194,102.1,100,0.947,
351,351,58.7545409,17.0120656,103.0,500,0.947,
352,352,59.3717379,16.5051474,105.6,1500,0.947,
353,353,59.8586126,17.6387436,101.1,300,0.947,
354,354,59.8586126,17.6387436,98.9,500,0.947,
355,355,59.6356115,17.077856,95.2,5000,0.947,
356,356,60.25,18.3,101.6,60000,0.947,
357,357,59.8586126,17.6387436,102.5,20000,0.947,
358,358,60.1545625,16.9275101,104.2,150,0.947,
359,359,59.9337595,16.9626975,105.0,100,0.947,
360,360,59.6356115,17.077856,89.8,700,0.947,
361,361,60.25,18.3,94.3,250,0.947,
362,362,59.8586126,17.6387436,94.5,500,0.947,
363,363,59.3809146,13.5027631,92.2,1000,0.947,
364,364,59.85,13.15,100.6,1514,0.947,
365,365,60.7304312,12.8711737,104.1,500,0.947,
366,366,59.416667,12.166667,88.1,120,0.947,
367,367,60.0297519,13.6518574,88.2,500,0.947,
368,368,59.116667,12.85,88.3,500,0.947,
369,369,59.7031557,12.1494597,95.3,500,0.947,
370,370,59.3809146,13.5027631,95.5,2000,0.947,
371,371,59.7,14.183333,100.9,250,0.947,
372,372,59.85,13.15,103.9,500,0.947,
373,373,59.766667,12.65,105.1,1000,0.947,
