,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
480,37.288418,-82.08567,88.1,100,0.921,
481,37.01764,-76.33661,88.1,8246,0.921,
482,37.71511,-77.365,88.1,7071,0.921,
483,43.437584,-72.45175,88.1,2192,0.921,
484,46.462917,-116.90791,88.1,650,0.921,
485,47.380943,-120.28895,88.1,848,0.921,
486,47.00261,-120.53811,88.1,608,0.921,
487,48.05147,-121.8615,88.1,5,0.921,
488,48.005333,-124.41464,88.1,15,0.921,
489,46.21847,-119.201416,88.1,3500,0.921,
490,48.180443,-117.98747,88.1,9616,0.921,
491,46.33125,-120.015335,88.1,353,0.921,
492,46.631363,-120.536194,88.1,73,0.921,
493,47.312668,-123.372086,88.1,91923,0.921,
494,46.975166,-123.13917,88.1,4600,0.921,
495,45.99372,-118.18078,88.1,14,0.921,
496,43.37053,-89.05341,88.1,141,0.921,
497,44.35925,-87.98575,88.1,24041,0.921,
498,44.40972,-88.00147,88.1,2616,0.921,
499,44.409695,-88.00156,88.1,261,0.921,
500,42.952446,-90.43014,88.1,49497,0.921,
501,45.352085,-89.65366,88.1,89095,0.921,
502,45.352085,-89.65366,88.1,7495,0.921,
503,43.090557,-87.89731,88.1,1555,0.921,
504,46.5355,-92.0688,88.1,2545,0.921,
505,37.59011,-81.11481,88.1,1187,0.921,
506,40.216167,-80.55839,88.1,1555,0.921,
507,38.348415,-81.63734,88.1,141,0.921,
508,39.299805,-80.29147,88.1,37215,0.921,
509,38.424084,-82.42856,88.1,1979,0.921,
510,38.847027,-82.13042,88.1,4242,0.921,
511,41.159584,-104.72217,88.1,4949,0.921,
512,41.159695,-104.72219,88.1,2545,0.921,
513,44.230526,-105.46306,88.1,200,0.921,
514,41.133167,-105.548836,88.1,3394,0.921,
515,41.307724,-105.54322,88.1,140,0.921,
516,44.58522,-108.850945,88.1,848,0.921,
517,42.583,-108.71067,88.1,4242,0.921,
518,44.623833,-107.117836,88.1,636,0.921,
519,42.016224,-105.00275,88.1,1131,0.921,
520,44.066612,-107.864525,88.1,70,0.921,
521,42.450027,-82.08322,88.1,2050,0.921,
522,43.648945,-79.38172,88.1,225,0.921,
523,46.59725,-84.28142,88.1,2404,0.921,
524,43.64811,-79.37922,88.1,250,0.921,
525,46.212307,-63.341557,88.1,94000,0.921,
526,45.413113,-71.633415,88.1,1,0.921,
527,46.49086,-72.64958,88.1,4300,0.921,
528,45.385612,-70.86286,88.1,1,0.921,
529,61.809113,-148.09483,88.3,523,0.921,
530,64.87872,-148.05519,88.3,4525,0.921,
531,57.81036,-152.36328,88.3,141,0.921,
532,61.62936,-149.04283,88.3,91,0.921,
533,53.874695,-166.54439,88.3,250,0.921,
534,60.776917,-148.68878,88.3,50,0.921,
535,34.205666,-86.75,88.3,88,0.921,
536,33.83675,-85.733,88.3,2700,0.921,
537,32.141804,-86.74525,88.3,53000,0.921,
538,35.912582,-89.8912,88.3,1697,0.921,
539,36.065613,-94.17519,88.3,470,0.921,
540,35.81008,-90.812614,88.3,1900,0.921,
541,34.792027,-92.47736,88.3,128693,0.921,
542,31.47261,-109.95453,88.3,98,0.921,
543,35.032776,-114.36661,88.3,13500,0.921,
544,35.74014,-109.44686,88.3,1414,0.921,
545,33.596416,-112.09209,88.3,31819,0.921,
546,33.596416,-112.092636,88.3,31819,0.921,
547,35.94533,-112.17203,88.3,707,0.921,
548,34.48722,-118.12422,88.3,120,0.921,
549,34.48722,-118.12422,88.3,120,0.921,
550,34.912224,-117.028336,88.3,1414,0.921,
551,34.970806,-117.040306,88.3,14,0.921,
552,38.749332,-120.66936,88.3,162,0.921,
553,36.369667,-120.64494,88.3,1400,0.921,
554,41.595695,-122.876976,88.3,18,0.921,
555,35.415222,-119.23453,88.3,29698,0.921,
556,38.82489,-123.57306,88.3,3959,0.921,
557,37.608555,-120.65158,88.3,10606,0.921,
558,39.961166,-121.711945,88.3,8061,0.921,
559,39.962387,-121.7122,88.3,8061,0.921,
560,33.96614,-117.288086,88.3,212,0.921,
561,32.80478,-117.17003,88.3,22000,0.921,
562,38.50853,-122.662476,88.3,14,0.921,
563,34.218056,-118.945946,88.3,4525,0.921,
