,Lat,Lon
157,52.998474200000004,5.923148795038062
158,52.6631484,4.8326672
159,52.171513149999996,6.343658160434859
160,51.5889415,4.5278916
161,51.5337801,5.6329857
162,52.7264258,6.49308148854467
163,52.18985485,4.414558264500643
164,50.90469405,5.735204699788168
165,52.0387833,4.956087684635074
166,52.214853649999995,5.478146323965094
167,51.842574850000005,5.838960628748229
168,51.687337150000005,5.017307939950269
169,52.9524178,6.3441136
170,52.0526703,6.1014431
171,51.1073016,5.8719765
172,51.833921,4.1436739
173,-7.2752003,112.636552
174,53.0807517,6.877303483300453
175,52.359522299999995,4.53502585228361
176,52.0038435,6.5194467
177,53.3243515,5.9992306
178,52.7905619,7.2400267
179,52.2347139,6.4949852
180,51.8782056,4.8281412
181,52.6654515,5.5987894
182,53.0260951,7.1122345
183,51.9685817,5.668298061827958
184,52.086531750000006,5.249007957671885
185,52.17957375,5.930077460807249
186,51.2744706,5.5744905
187,52.2973861,6.882275369266874
188,50.5862066,8.6742306
189,53.8111615,9.6182581
190,51.33154005,4.087702848747496
191,51.8642776,6.0457927
192,51.8577532,4.3914097
193,51.5331484,4.4561276
194,51.6134636,5.5446455
195,52.0859261,4.8832939
196,51.6497688,3.9208365
197,51.914181850000006,6.577398580283228
198,52.3025582,4.8467875
199,51.8809765,5.5096395
200,50.8252689,5.9352312
201,49.786464,20.9737542
202,51.4790956,5.6557686
203,51.6598038,5.0319484
204,52.0861654,4.3946774
205,52.7031261,4.8111118
206,52.33942,6.78025
207,51.9958671,5.9751252
208,51.5887845,4.7760237
209,52.2695736,6.236339604766698
210,53.2564712,6.0388695
211,35.000074,104.999927
212,52.16212075,6.775353827101859
213,52.0271433,5.1620637
214,51.6863207,5.7841148
215,51.488961599999996,5.300594979407693
216,53.1074318,7.013857
217,50.9974235,5.8666627
218,52.6425446,6.0720879
219,51.6656003,5.3712805
220,51.9187914,5.8452555
221,52.51011775,4.635060887073173
222,53.2720724,6.5885708
223,52.30853685,6.914603743122237
224,51.1933903,5.9882649
225,52.1655725,4.709364
226,51.3202409,5.458181897733282
227,52.2391743,5.3734101
228,52.1050018,6.0662773
229,52.1594747,4.4908843
230,51.9890577,6.5716944
231,50.8512438,5.6909768
232,53.2158709,5.6613293
233,51.5173136,5.500838
234,51.235582949999994,5.705079711646853
235,52.75286615,6.952513466208563
236,52.2321562,6.5809004
237,52.0426094,4.3930456
238,49.4010818,9.5077722
239,51.38632235,5.688884477579495
240,51.58561845,5.0660616131367675
241,52.4579135,5.9995423
242,52.5841732,4.779619
243,52.00824,6.17455
244,52.33599915,5.640271521392062
245,51.6742119,5.9805161
246,52.78822125,4.741356804254988
247,52.0907006,5.1215634
248,51.4190691,5.4045572
249,52.4086697,6.6148049
250,52.3705038,5.2185859
251,52.9952273,6.560498
252,52.0834347,4.7510872
253,53.1954807,5.9871063
254,52.4574236,4.6111981
255,51.7764266,4.9190121
256,51.842574850000005,5.838960628748229
257,51.7311823,3.7719799
258,51.29884295,3.8422043956030683
259,52.2901716,5.9686728
260,51.9227863,4.329563378870851
261,52.3730796,4.8924534
262,51.8068343,5.4403237
263,52.171513149999996,6.343658160434859
264,52.1208994,5.2836057
265,51.4162975,3.7028061
